# lag(days), confidence level (99.0%)
-45.0,0.7051541647000007
-40.0,0.5123506345000027
-35.0,0.5467498964000039
-30.0,0.5053652079000008
-25.0,0.5296607641000034
-20.0,0.567925521800011
-15.0,0.5522735778000025
-10.0,0.5501204698000022
-5.0,0.41471402430000015
0.0,0.3462753105000014
5.0,0.43530425650000115
10.0,0.4556539882000043
15.0,0.45126514580000066
20.0,0.4945565319000023
25.0,0.44768327810000125
30.0,0.48968518260000515
35.0,0.527355595700007
40.0,0.5798413463000103
45.0,0.5217468694000039
50.0,0.47657883700000364
