# lag(days), confidence level (99.9%)
-45.0,1.1458268958719722
-40.0,0.7148619256959867
-35.0,0.749677945663966
-30.0,0.6922369102719972
-25.0,0.6987555519359963
-20.0,0.7638495895679902
-15.0,0.7261125749759956
-10.0,0.7693696243839742
-5.0,0.5688892030079999
0.0,0.4974984255359993
5.0,0.5904266384639991
10.0,0.6265320470399989
15.0,0.6329378032639696
20.0,0.6632064001919848
25.0,0.6186301801599954
30.0,0.6571322967679976
35.0,0.7078352839679979
40.0,0.8105512161279996
45.0,0.6731370508799988
50.0,0.6562374459519837
